teamID,fullName,year,divisionID,wins,losses,ties,standing
empire,New York Empire,2022,east,15,0,0,1
breeze,DC Breeze,2022,east,11,3,0,2
flyers,Carolina Flyers,2022,south,12,2,0,1
sol,Austin Sol,2022,south,9,4,0,2
hustle,Atlanta Hustle,2022,south,8,4,0,3
mechanix,Detroit Mechanix,2022,central,0,12,0,6
legion,Dallas Legion,2022,south,1,11,0,4
cannons,Tampa Bay Cannons,2022,south,1,11,0,5
outlaws,Ottawa Outlaws,2022,east,2,10,0,7
cascades,Seattle Cascades,2022,west,2,10,0,6
royal,Montreal Royal,2022,east,4,8,0,5
steel,Portland Steel,2022,west,2,10,0,7
union,Chicago Union,2022,central,13,2,0,1
windchill,Minnesota Wind Chill,2022,central,10,4,0,2
alleycats,Indianapolis AlleyCats,2022,central,6,7,0,3
radicals,Madison Radicals,2022,central,6,6,0,4
growlers,San Diego Growlers,2022,west,9,4,0,3
spiders,Oakland Spiders,2022,west,4,8,0,4
aviators,LA Aviators,2022,west,4,8,0,5
thunderbirds,Pittsburgh Thunderbirds,2022,central,4,8,0,5
phoenix,Philadelphia Phoenix,2022,east,6,7,0,3
glory,Boston Glory,2022,east,4,8,0,4
rush,Toronto Rush,2022,east,4,8,0,6
apex,Colorado Apex,2022,west,12,2,0,1
shred,Salt Lake Shred,2022,west,11,3,0,2
aviators,LA Aviators,2023,west,8,6,0,3
radicals,Madison Radicals,2023,central,4,8,0,5
mechanix,Detroit Mechanix,2023,central,0,12,0,6
windchill,Minnesota Wind Chill,2023,central,11,3,0,1
alleycats,Indianapolis AlleyCats,2023,central,10,4,0,2
royal,Montreal Royal,2023,east,0,12,0,6
union,Chicago Union,2023,central,6,7,0,3
thunderbirds,Pittsburgh Thunderbirds,2023,central,5,7,0,4
hustle,Atlanta Hustle,2023,south,10,3,0,1
sol,Austin Sol,2023,south,11,4,0,2
shred,Salt Lake Shred,2023,west,13,2,0,1
apex,Colorado Apex,2023,west,8,5,0,2
spiders,Oakland Spiders,2023,west,7,5,0,4
flyers,Carolina Flyers,2023,south,7,6,0,3
cascades,Seattle Cascades,2023,west,4,8,0,5
growlers,San Diego Growlers,2023,west,3,9,0,6
steel,Oregon Steel,2023,west,1,11,0,7
legion,Dallas Legion,2023,south,2,10,0,5
havoc,Houston Havoc,2023,south,2,10,0,4
empire,New York Empire,2023,east,15,0,0,1
breeze,DC Breeze,2023,east,10,4,0,2
glory,Boston Glory,2023,east,7,6,0,3
phoenix,Philadelphia Phoenix,2023,east,6,6,0,4
rush,Toronto Rush,2023,east,5,7,0,5
aviators,LA Aviators,2024,west,3,9,0,6
steel,Oregon Steel,2024,west,1,11,0,7
phoenix,Philadelphia Phoenix,2024,east,5,7,0,4
shred,Salt Lake Shred,2024,west,10,3,0,2
windchill,Minnesota Wind Chill,2024,central,12,3,0,1
spiders,Oakland Spiders,2024,west,8,5,0,3
apex,Colorado Apex,2024,west,6,6,0,4
radicals,Madison Radicals,2024,central,9,5,0,2
havoc,Houston Havoc,2024,south,5,7,0,4
growlers,San Diego Growlers,2024,west,4,8,0,5
union,Chicago Union,2024,central,7,6,0,3
alleycats,Indianapolis AlleyCats,2024,central,6,6,0,4
thunderbirds,Pittsburgh Thunderbirds,2024,central,4,8,0,5
mechanix,Detroit Mechanix,2024,central,1,11,0,6
breeze,DC Breeze,2024,east,11,3,0,1
glory,Boston Glory,2024,east,10,4,0,2
empire,New York Empire,2024,east,8,5,0,3
hustle,Atlanta Hustle,2024,south,10,3,0,2
flyers,Carolina Flyers,2024,south,12,4,0,1
sol,Austin Sol,2024,south,7,6,0,3
legion,Dallas Legion,2024,south,0,12,0,5
cascades,Seattle Cascades,2024,west,11,4,0,1
royal,Montreal Royal,2024,east,4,8,0,5
rush,Toronto Rush,2024,east,1,11,0,6
